50 500
0 41 18
0 34 1
0 19 25
0 28 9
0 12 15
0 5 46
0 31 28
0 11 42
0 45 43
0 27 37
1 41 5
1 2 4
1 42 33
1 21 17
1 18 46
1 47 27
1 21 39
1 19 13
1 17 50
1 35 45
2 3 12
2 22 34
2 23 15
2 41 12
2 3 19
2 47 45
2 12 8
2 37 10
2 23 42
2 29 29
3 16 36
3 40 43
3 38 7
3 40 43
3 14 49
3 46 6
3 40 30
3 20 1
3 6 2
3 43 49
4 29 24
4 34 5
4 6 41
4 16 27
4 31 9
4 44 40
4 26 24
4 37 39
4 18 33
4 29 42
5 33 16
5 39 9
5 4 31
5 27 7
5 23 37
5 21 46
5 24 23
5 20 30
5 27 24
5 47 13
6 36 41
6 11 37
6 5 18
6 24 32
6 2 1
6 0 42
6 24 17
6 30 8
6 41 8
6 37 8
7 37 4
7 33 46
7 9 10
7 8 22
7 38 23
7 46 7
7 30 14
7 18 1
7 41 13
7 5 11
8 9 25
8 37 49
8 33 46
8 41 3
8 0 42
8 36 25
8 20 47
8 21 49
8 49 19
8 34 32
9 34 4
9 49 19
9 38 1
9 27 18
9 28 44
9 48 34
9 7 22
9 10 18
9 13 15
9 9 17
10 35 2
10 0 50
10 19 7
10 48 4
10 24 9
10 44 10
10 39 3
10 45 36
10 43 44
10 23 38
11 14 4
11 48 1
11 8 19
11 30 47
11 48 32
11 39 49
11 9 8
11 22 23
11 38 43
11 29 41
12 7 9
12 41 16
12 38 7
12 11 3
12 34 23
12 5 29
12 46 13
12 36 26
12 33 20
12 42 45
13 16 32
13 48 23
13 1 22
13 49 8
13 26 43
13 39 26
13 12 1
13 10 4
13 19 12
13 38 2
14 39 6
14 23 3
14 35 33
14 38 27
14 17 8
14 32 33
14 19 5
14 21 40
14 26 30
14 18 43
15 25 6
15 34 50
15 41 13
15 45 11
15 18 4
15 39 24
15 29 47
15 37 30
15 49 38
15 16 50
16 43 46
16 47 17
16 36 6
16 38 33
16 5 35
16 14 2
16 16 22
16 36 14
16 13 6
16 35 4
17 12 9
17 32 46
17 13 7
17 21 9
17 46 33
17 31 45
17 46 23
17 29 12
17 35 1
17 23 17
18 44 10
18 42 40
18 3 25
18 4 11
18 45 50
18 36 14
18 24 23
18 18 19
18 37 6
18 8 42
19 2 26
19 27 15
19 14 25
19 34 25
19 22 10
19 33 21
19 37 48
19 18 28
19 23 21
19 13 19
20 42 36
20 2 31
20 13 28
20 2 50
20 27 26
20 43 25
20 23 23
20 11 32
20 3 33
20 5 44
21 25 32
21 42 43
21 22 37
21 14 1
21 37 11
21 13 25
21 20 21
21 35 34
21 11 11
21 46 18
22 35 1
22 40 45
22 45 25
22 19 26
22 26 45
22 8 3
22 21 17
22 28 44
22 1 35
22 18 15
23 19 3
23 0 38
23 10 27
23 7 21
23 15 27
23 27 44
23 8 15
23 9 33
23 36 16
23 37 28
24 24 26
24 27 30
24 28 24
24 20 3
24 12 24
24 46 38
24 11 46
24 25 15
24 10 3
24 16 31
25 26 12
25 21 12
25 47 4
25 20 41
25 24 39
25 13 41
25 1 13
25 29 1
25 13 9
25 28 16
26 7 28
26 0 9
26 39 4
26 10 8
26 24 28
26 8 14
26 37 2
26 0 11
26 28 44
26 34 6
27 40 12
27 4 36
27 6 23
27 0 24
27 35 7
27 16 27
27 7 27
27 37 22
27 19 12
27 46 23
28 17 13
28 46 36
28 41 24
28 29 30
28 15 10
28 32 47
28 5 4
28 12 35
28 34 5
28 22 8
29 19 33
29 13 8
29 33 12
29 35 18
29 48 26
29 38 24
29 42 5
29 11 42
29 25 10
29 21 21
30 26 35
30 5 34
30 0 49
30 29 2
30 43 35
30 37 35
30 6 44
30 26 6
30 12 49
30 31 1
31 13 42
31 5 6
31 42 13
31 11 28
31 24 29
31 2 44
31 46 24
31 40 14
31 25 23
31 18 11
32 17 33
32 12 46
32 19 32
32 40 39
32 35 41
32 47 40
32 40 46
32 3 15
32 1 41
32 44 9
33 35 10
33 42 6
33 14 32
33 3 30
33 25 9
33 42 48
33 49 7
33 11 28
33 17 42
33 29 41
34 13 25
34 1 28
34 15 34
34 13 43
34 24 2
34 42 10
34 20 29
34 27 35
34 25 37
34 48 21
35 37 48
35 4 4
35 21 14
35 6 14
35 10 22
35 39 41
35 14 43
35 19 14
35 41 5
35 18 33
36 0 6
36 25 40
36 3 23
36 48 48
36 34 49
36 21 15
36 13 26
36 45 13
36 46 29
36 19 13
37 19 36
37 39 45
37 15 41
37 45 9
37 18 21
37 1 24
37 32 23
37 2 38
37 20 14
37 1 4
38 23 28
38 0 20
38 15 16
38 28 44
38 47 39
38 43 38
38 9 14
38 49 32
38 38 43
38 8 11
39 21 9
39 4 39
39 46 41
39 49 44
39 30 21
39 48 18
39 36 34
39 35 27
39 38 4
39 29 25
40 48 24
40 9 8
40 16 45
40 5 19
40 26 12
40 25 6
40 1 50
40 46 35
40 15 15
40 42 26
41 13 43
41 46 49
41 22 27
41 6 24
41 29 5
41 5 27
41 12 26
41 43 16
41 36 37
41 41 15
42 44 7
42 2 37
42 38 33
42 5 16
42 31 31
42 41 26
42 11 38
42 36 41
42 0 13
42 34 44
43 3 17
43 2 9
43 12 34
43 4 4
43 34 4
43 6 49
43 24 18
43 13 10
43 28 1
43 30 19
44 8 1
44 5 12
44 14 4
44 26 44
44 9 3
44 11 40
44 48 33
44 3 25
44 20 3
44 23 32
45 19 29
45 9 9
45 19 22
45 3 46
45 31 5
45 42 36
45 13 49
45 39 23
45 38 38
45 10 12
46 34 9
46 11 10
46 43 16
46 19 38
46 8 1
46 21 15
46 17 16
46 5 16
46 30 40
46 12 39
47 32 5
47 35 11
47 34 25
47 30 16
47 1 42
47 15 30
47 10 49
47 23 39
47 27 33
47 6 40
48 13 9
48 41 41
48 23 14
48 28 35
48 0 22
48 35 25
48 21 34
48 17 4
48 45 19
48 25 27
49 29 1
49 48 10
49 43 37
49 30 17
49 49 18
49 28 30
49 14 22
49 5 27
49 16 17
49 26 17
